region,sex,weighted,mean
35913,0,48921,0.403536
35913,1,50418,0.319747
35926,0,24142,0.437316
35926,1,26141,0.36287
35927,0,30983,0.379026
35927,1,34788,0.307769
35930,0,135887,0.407997
35930,1,149202,0.290612
35933,0,39834,0.411914
35933,1,45662,0.304413
35934,0,29407,0.415501
35934,1,27412,0.322051
35935,0,42262,0.432498
35935,1,45749,0.376618
35936,0,121779,0.370598
35936,1,129117,0.277885
35937,0,116233,0.354464
35937,1,134788,0.317889
35938,0,37546,0.435429
35938,1,36736,0.340513
35940,0,24408,0.418773
35940,1,26675,0.287885
35941,0,40144,0.434208
35941,1,54103,0.28144
35942,0,28578,0.374184
35942,1,28864,0.342733
35943,0,39204,0.431356
35943,1,51595,0.34934
35944,0,98965,0.364942
35944,1,105523,0.298375
35946,0,102762,0.391699
35946,1,116789,0.305637
35947,0,36384,0.447494
35947,1,40388,0.325842
35949,0,16708,0.448604
35949,1,16792,0.328904
35951,0,185227,0.345602
35951,1,219334,0.252303
35953,0,157948,0.378258
35953,1,167280,0.292733
35955,0,29571,0.387871
35955,1,33204,0.309117
35956,0,19535,0.42885
35956,1,20616,0.347639
35957,0,20810,0.436093
35957,1,28640,0.325314
35958,0,46610,0.410009
35958,1,52795,0.307161
35960,0,138663,0.392236
35960,1,138774,0.314966
35961,0,42771,0.368377
35961,1,43487,0.324608
35962,0,35293,0.394277
35962,1,34120,0.279417
35963,0,36384,0.447494
35963,1,40388,0.325842
35965,0,118193,0.334875
35965,1,122380,0.277348
35966,0,66268,0.352325
35966,1,71939,0.272485
35968,0,80952,0.3554
35968,1,89694,0.30285
35970,0,160854,0.399346
35970,1,174056,0.27483
35983,0,36297,0.358556
35983,1,37747,0.290957
35995,0,357498,0.375719
35995,1,379527,0.293979
